date,state,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage
20201123,VT,2,16
20200413,SD,,0
20200517,MA,,0
20200730,TN,155,112
20200606,AR,,0
20200629,FL,,0
20200710,TX,,0
20200804,VT,1,8
20200526,SD,,0
20200323,HI,1,17
20201109,ND,51,47
20200524,VI,,0
20200821,NH,29,30
20200801,VT,1,8
20200315,KY,,0
20200606,HI,0,17
20201112,LA,103,213
20201030,FL,583,273
20201126,OH,619,226
20200610,DE,,0
20200511,SC,,0
20200520,KS,,0
20200531,TN,,0
20200827,AZ,87,101
20200820,RI,2,14
20201114,PA,349,224
20200403,UT,,0
20200430,NE,,0
20200416,MT,,0
20200314,OH,,0
20201013,NC,185,128
20201018,DE,10,16
20200523,NE,,0
20200511,NC,,0
20200419,WY,,0
20201201,WY,44,30
20201106,PA,264,225
20200808,NM,20,43
20201119,MN,269,140
20200829,SD,17,58
20201101,CA,365,408
20201010,MS,75,103
20200327,AR,,0
20200821,ID,17,50
20200519,VT,,0
20200703,OK,,0
20201127,WY,29,31
20201118,NE,140,100
20200919,WV,15,63
20200604,NE,0,3
20200805,CO,54,81
20201201,OH,860,207
20200915,NJ,22,79
20200609,NY,0,1
20201008,WV,14,63
20200502,ID,,0
20200427,AK,,0
20200607,NV,,0
20201128,FL,685,268
20200507,IA,11,38
20200313,AL,,0
20200813,NV,69,62
20200915,ME,2,36
20200816,IA,35,121
20201025,MA,56,103
20200630,SD,,0
20200609,MT,,0
20200508,UT,,0
20200810,CT,11,27
20200804,AL,101,58
20200608,MT,,0
20200506,RI,0,1
20200407,ME,,0
20201115,AR,122,111
20200521,SC,,0
20200616,MN,,0
20200919,AR,60,102
20200407,AL,,0
20200621,NJ,,0
20200328,DE,,0
20200916,AR,63,102
20200916,MO,113,139
20200804,IA,45,123
20200901,FL,402,264
20200722,ME,3,25
20200731,DE,3,6
20200707,VT,,0
20200608,OR,,0
20200501,AR,,0
20200512,NH,,0
20200522,LA,,0
20200520,OR,,0
20201115,DE,14,15
20200812,KY,239,104
20200730,PA,88,145
20200528,NJ,,0
20200423,NC,,0
20200627,NJ,,0
20200506,MN,,0
20200515,OK,,0
20201116,PA,415,199
20201031,NM,69,52
20200614,VA,,0
20201130,NJ,294,79
20201004,MA,33,102
20200801,NC,157,114
20200915,CT,13,32
20201109,KS,130,141
20200320,WV,,0
20200529,AL,,0
20200622,NH,,0
20200504,NH,,0
20200802,KY,135,93
20200331,MT,,0
20200713,OH,,0
20201121,IL,636,199
20200402,WI,,0
20200606,ME,,0
20200610,AZ,13,12
20201018,OK,187,148
20200629,VA,,0
20200825,ID,13,48
20201105,CT,56,32
20200427,NM,,0
20201027,CA,353,393
20200319,OH,,0
20200825,IA,49,123
20200831,AR,52,92
20200616,DE,,0
20201009,OK,177,151
20200920,MN,36,130
20200424,VT,,0
20200801,HI,11,23
20200523,DC,,0
20200314,CO,,0
20201129,CT,98,35
20201123,AR,106,94
20200705,UT,,0
20200502,PA,,0
20201025,WV,25,63
20200629,OK,,0
20200328,MN,,0
20201125,SD,63,65
20200419,VI,,0
20200504,RI,0,1
20201106,DE,8,16
20200520,WY,,0
20200324,WA,,0
20201003,KY,142,114
20200706,NC,,0
20200927,UT,24,55
20201011,UT,25,56
20200911,WA,26,100
20200623,NY,0,1
20200915,PA,66,215
20201025,HI,3,24
20200922,SD,40,61
20200404,ID,,0
20200610,LA,41,110
20200604,ME,,0
20200811,MN,29,103
20200414,GA,,0
20201201,NC,264,122
20200922,OR,18,63
20200519,MN,,0
20200714,FL,,0
20201115,NH,13,30
20200322,SC,,0
20200913,NH,1,30
20200730,CT,3,30
20200607,KS,,0
20201129,NC,237,130
20201019,MD,48,55
20200401,VA,,0
20201111,ME,12,39
20200930,KY,152,114
20200326,KY,,0
20200409,HI,1,20
20200412,VA,,0
20200409,FL,,0
20201026,ME,5,37
20200513,MI,,0
20201113,WA,55,105
20200808,OR,18,46
20200822,AR,63,91
20200707,OH,,0
20200924,GA,157,151
20200725,MD,52,36
20200415,OR,,0
20200927,MN,61,130
20200909,AR,56,102
20200602,IN,,0
20200429,WA,,0
20200701,UT,,0
20200606,OH,,0
20200507,TX,,0
20200630,NC,,0
20200516,NH,,0
20201031,NE,93,98
20200625,TN,,0
20200704,DC,,0
20200320,NV,,0
20200616,IN,,0
20200619,MA,,0
20201014,MD,60,59
20201029,MD,80,60
20200323,KS,,0
20200618,OH,,0
20200822,MA,12,80
20200625,TX,,0
20201107,MN,192,140
20201113,PR,210,66
20200910,HI,34,30
20200601,DC,,0
20200630,MS,,0
20200412,NE,,0
20200830,OH,71,210
20200602,VA,,0
20201202,CO,335,104
20200712,OK,,0
20201029,NM,59,52
20201019,PA,188,212
20200429,PR,,0
20200505,WV,,0
20200708,AR,,0
20201108,PR,99,62
20200908,TX,395,554
20201005,CO,42,100
20200322,NC,,0
20200618,WI,,0
20200706,MI,0,1
20200525,RI,0,1
20200731,PA,103,154
20200316,WV,,0
20201026,WI,329,144
20200929,RI,3,15
20200314,NC,,0
20200406,NE,,0
20200413,WI,,0
20201026,CT,34,32
20200407,NM,,0
20200315,AL,,0
20200509,NJ,,0
20200917,MD,53,54
20200420,IA,,0
20200316,IA,,0
20200616,ND,,0
20200728,HI,11,16
20200914,SD,29,61
20200823,MI,49,149
20200614,NM,,0
20200608,MI,,0
20200722,GA,182,83
20200704,VI,,0
20200402,CO,,0
20201023,RI,17,15
20200319,IN,,0
20200811,WI,89,128
20201128,AR,129,111
20200726,OR,5,35
20200421,VA,,0
20200817,AL,86,70
20200328,SC,,0
20201108,NC,116,130
20200720,OK,40,54
20201021,NH,3,30
20200628,AK,,0
20201125,GA,374,170
20201006,NE,32,95
20200321,NC,,0
20201029,IN,211,161
20200325,NM,,0
20200324,IA,,0
20200819,MS,82,99
20201114,VT,2,16
20201123,SC,74,72
20200914,OK,75,137
20200717,FL,847,214
20201026,IA,78,122
20201009,DE,12,15
20200510,VA,,0
20200701,WV,,0
20200708,KY,,0
20201118,MO,349,140
20200410,OK,,0
20200428,VT,,0
20201101,MS,58,106
20201021,IN,174,157
20200808,AR,99,74
20201112,NJ,278,94
20200723,MD,54,33
20200524,IN,,0
20201008,AK,8,23
20200413,GA,,0
20200429,NE,,0
20201025,IL,271,199
20200525,FL,,0
20200606,MT,,0
20200416,NH,,0
20200718,VT,6,8
20200329,PA,,0
20200503,AR,,0
20200328,NH,,0
20200527,CA,,0
20200404,AL,,0
20200728,KS,34,88
20200712,DE,,0
20200824,VI,1,2
20200517,NE,,0
20200625,HI,0,12
20200927,AK,7,23
20200809,ID,13,26
20200502,VT,,0
20201124,MN,241,130
20200920,CO,24,100
20200613,PA,,0
20201117,ID,51,48
20201105,NV,80,62
20200921,AR,61,102
20200928,NH,3,30
