previous_day_admission_adult_covid_confirmed,total_adult_patients_hospitalized_confirmed_covid,staffed_icu_adult_patients_confirmed_covid,previous_day_admission_adult_covid_confirmed_coverage,total_adult_patients_hospitalized_confirmed_covid_coverage,staffed_icu_adult_patients_confirmed_covid_coverage,state_and_date,date,state,inIcuCurrently,onVentilatorCurrently,TotalDeaths
,,,0,0,0,WY20200509,20200509,WY,nan,,7
11,29,7,30,30,30,WY20200929,20200929,WY,nan,,50
93,710,179,212,187,178,PA20201006,20201006,PA,nan,74,8244
,,,0,0,0,TN20200513,20200513,TN,nan,,273
5,106,39,71,71,67,NE20200812,20200812,NE,nan,,356
,,,0,0,0,MS20200428,20200428,MS,162,77,239
124,671,217,109,109,109,AR20201106,20201106,AR,nan,107,2056
3,13,2,16,16,16,VT20201119,20201119,VT,1,,61
22,62,24,58,47,36,SD20200830,20200830,SD,nan,,167
544,3618,1130,579,574,576,TX20201008,20201008,TX,nan,,16334
,,,0,0,0,VI20200617,,,,,
308,2201,596,141,141,141,MO20201115,20201115,MO,570,285,3374
,,,0,0,0,WI20200423,20200423,WI,146,,257
13,95,52,38,39,38,IA20200418,20200418,IA,84,51,74
,,,0,0,0,KY20200318,20200318,KY,nan,,1
103,778,193,109,109,109,VA20201106,20201106,VA,216,96,3682
81,447,285,67,80,70,AR20200807,20200807,AR,nan,116,521
604,4559,925,200,200,199,IL20201114,20201114,IL,1018,499,10670
5,22,6,17,17,17,VT20201124,20201124,VT,5,,64
,,,0,0,0,AL20200425,20200425,AL,nan,,213
,,,0,0,0,SD20200508,20200508,SD,nan,,31
,,,0,0,0,IA20200323,,,,,
102,1226,332,51,59,59,SC20200717,20200717,SC,nan,,1078
124,821,273,152,145,145,IN20201010,20201010,IN,339,116,3555
,,,0,0,0,DC20200602,20200602,DC,106,74,470
,,,0,0,0,WV20200514,20200514,WV,15,8,62
0,4,1,2,2,2,VI20201019,,,,,
,,,0,0,0,GA20200318,20200318,GA,nan,,1
73,501,125,93,93,93,NJ20201013,20201013,NJ,168,71,14394
,,,0,0,0,ID20200414,20200414,ID,nan,,39
111,564,147,103,103,103,MA20201113,20201113,MA,153,71,10265
,,,0,0,0,WV20200504,20200504,WV,23,12,50
,,,0,0,0,NE20200322,,,,,
93,621,231,133,119,112,MO20200815,20200815,MO,nan,,1346
,,,0,0,0,SC20200313,,,,,
,97,,0,17,0,CA20200623,20200623,CA,1225,,5580
85,620,154,131,131,131,MN20201025,20201025,MN,142,,2349
144,614,202,115,111,111,KY20201017,20201017,KY,185,,1312
120,823,248,186,158,144,IL20200819,20200819,IL,334,144,7806
133,1099,242,178,177,176,NY20201025,20201025,NY,227,118,25730
,,,0,0,0,OH20200527,20200527,OH,318,220,2044
,1,,0,25,0,OK20200428,20200428,OK,89,,207
15,126,26,16,16,14,DE20201017,20201017,DE,26,,664
,,0,0,0,11,AK20200601,20200601,AK,nan,1,10
38,247,64,95,95,95,NJ20200927,20200927,NJ,91,39,14318
,,,0,0,0,AK20200420,20200420,AK,nan,,9
21,154,37,80,77,75,MA20200817,20200817,MA,59,22,8842
,,,0,0,0,TN20200530,20200530,TN,nan,,364
,,,0,0,0,PR20200316,,,,,
38,345,96,77,74,71,CO20200726,20200726,CO,nan,,1794
,,,0,0,0,ME20200307,,,,,
,,,0,0,0,MN20200314,20200314,MN,nan,,
69,895,,168,168,0,LA20200412,20200412,LA,nan,458,840
,,,0,0,0,IL20200508,20200508,IL,1222,727,3241
1,17,3,17,17,17,VT20201126,20201126,VT,5,,64
149,967,295,104,104,104,AL20201026,20201026,AL,nan,,2866
32,251,79,123,123,123,IA20200805,20200805,IA,68,32,900
663,4305,1379,580,578,579,TX20201015,20201015,TX,nan,,16812
,,,0,0,0,WI20200429,20200429,WI,121,,308
167,1713,308,215,221,221,LA20201127,20201127,LA,nan,125,6391
5,125,30,33,44,44,OR20200724,20200724,OR,48,30,282
118,404,128,114,109,106,KY20200926,20200926,KY,129,,1154
,,,0,0,0,CT20200516,20200516,CT,nan,,3339
54,340,102,102,102,102,WA20201029,20201029,WA,nan,46,2359
31,353,58,50,62,54,NJ20200724,20200724,NJ,143,56,13845
,,,0,0,0,WY20200528,20200528,WY,nan,,15
,,,0,0,0,NM20200525,20200525,NM,nan,,320
30,75,,14,19,0,AZ20200501,20200501,AZ,311,187,330
84,715,244,139,123,118,MO20200828,20200828,MO,nan,,1464
,,,0,0,0,LA20200330,20200330,LA,nan,385,185
,,,0,0,0,AK20200402,20200402,AK,nan,,3
103,1576,490,55,104,103,AL20200731,20200731,AL,nan,,1531
150,584,183,113,111,111,KY20201012,20201012,KY,180,,1253
54,374,140,101,92,70,MS20200927,20200927,MS,146,64,2919
125,1033,383,101,101,101,TN20200718,20200718,TN,nan,,838
15,147,26,16,16,16,DE20201107,20201107,DE,26,,716
11,86,45,63,63,63,IA20200409,20200409,IA,58,35,29
56,246,62,64,60,56,SD20201010,20201010,SD,nan,,286
15,73,10,30,31,29,CT20200731,20200731,CT,nan,,4432
,,,0,0,0,KY20200529,20200529,KY,81,,418
,,,0,0,0,OR20200328,20200328,OR,nan,,13
37,222,45,57,57,57,PR20200809,,,,,
0,3,0,1,1,1,NY20200701,20200701,NY,226,139,24866
13,108,52,38,38,38,ME20201123,20201123,ME,45,11,177
,,,0,0,0,OR20200309,,,,,
7,77,14,32,31,31,CT20200925,20200925,CT,nan,,4501
15,76,28,18,19,18,NM20200729,20200729,NM,nan,,632
71,666,168,87,72,74,VA20200821,20200821,VA,263,142,2436
,,,0,0,0,ME20200612,20200612,ME,11,5,100
31,300,80,130,129,128,MN20200823,20200823,MN,80,,1767
,,,0,0,0,ID20200423,20200423,ID,nan,,54
157,1039,201,79,79,79,NJ20201103,20201103,NJ,238,79,14582
12,168,46,21,23,21,ID20200718,20200718,ID,46,,119
1,,,20,0,0,HI20200408,20200408,HI,nan,,5
46,364,100,23,40,34,MD20200716,20200716,MD,137,,3215
97,573,193,105,105,104,AR20201024,20201024,AR,nan,97,1797
2,28,2,27,27,24,SD20200726,20200726,SD,nan,,123
4,30,10,30,31,31,IA20200621,20200621,IA,51,28,686
146,1257,417,151,136,121,GA20200926,20200926,GA,nan,,6914
24,282,86,103,120,119,MN20200807,20200807,MN,103,,1640
267,1380,412,160,154,154,GA20201021,20201021,GA,nan,,7704
361,1555,365,147,147,147,WI20201028,20201028,WI,339,,1897
,,,0,0,0,NC20200519,20200519,NC,nan,,691
0,14,8,15,26,26,WY20200722,20200722,WY,nan,,25
71,519,108,65,65,65,OR20201127,20201127,OR,115,50,885
125,812,185,140,140,140,MN20201031,20201031,MN,178,,2457
,90,,0,15,0,CA20200614,20200614,CA,1076,,5063
,5,,0,27,0,OK20200506,20200506,OK,59,,253
,,,0,0,0,TX20200529,20200529,TX,nan,,1626
118,772,225,51,51,51,NM20201125,20201125,NM,nan,,1451
1,11,4,38,35,33,ME20200927,20200927,ME,2,0,140
312,1060,312,124,124,124,KY20201105,20201105,KY,291,,1534
,,,0,0,0,OR20200519,20200519,OR,20,9,140
,263,,0,25,0,CA20200507,20200507,CA,1125,,2504
160,1163,422,110,112,109,TN20200728,20200728,TN,412,202,999
,,,0,0,0,VI20200701,,,,,
24,215,40,33,31,31,CT20201020,20201020,CT,nan,,4559
